telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
100,2,5,20,0.04703517830766639,78848,0,0.0,227510.15625,1139451.375,6161777.5,17742012.0,227510.15625,1139451.375,6161777.5,17742012.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
101,2,5,21,0.04851883025051097,78848,0,0.0,227765.734375,1144805.25,6172979.5,17814830.0,227765.734375,1144805.25,6172979.5,17814830.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
102,2,5,22,0.04926139720848086,78848,0,0.0,228185.921875,1140255.625,6202556.0,17885268.0,228185.921875,1140255.625,6202556.0,17885268.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
103,2,5,23,0.04841835331767015,78848,0,0.0,228396.625,1143802.875,6171105.0,17887936.0,228396.625,1143802.875,6171105.0,17887936.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
104,2,6,24,0.04851672035615349,78848,0,0.0,228320.078125,1133848.625,6199546.0,17946782.0,228320.078125,1133848.625,6199546.0,17946782.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
105,2,6,25,0.05171148064936334,78848,0,0.0,227995.84375,1137382.125,6208568.0,18005844.0,227995.84375,1137382.125,6208568.0,18005844.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
106,2,6,26,0.0529610334359902,78848,0,0.0,228218.96875,1141229.75,6181787.5,17567422.0,228218.96875,1141229.75,6181787.5,17567422.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
107,2,6,27,0.05230388022073162,78848,0,0.0,228194.359375,1146240.75,6122639.5,17596358.0,228194.359375,1146240.75,6122639.5,17596358.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
108,2,7,28,0.05012654050016916,78848,0,0.0,227990.96875,1148245.125,6149275.0,17666194.0,227990.96875,1148245.125,6149275.0,17666194.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
109,2,7,29,0.048501487196191864,78848,0,0.0,226109.296875,1134087.125,6105801.5,17566160.0,226109.296875,1134087.125,6105801.5,17566160.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
110,2,7,30,0.04770428171829971,78848,0,0.0,225887.875,1137968.25,6127121.5,17482702.0,225887.875,1137968.25,6127121.5,17482702.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
111,2,7,31,0.05028451738387865,78848,0,0.0,225609.65625,1135863.625,6143360.454999974,17459728.0,225609.65625,1135863.625,6143360.454999974,17459728.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
112,2,8,32,0.04727214701370233,78848,0,0.0,224370.75,1134614.125,6101754.5,17131584.0,224370.75,1134614.125,6101754.5,17131584.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
113,2,8,33,0.050500813595117114,78848,0,0.0,223008.359375,1128559.5,6118587.904999995,17102512.0,223008.359375,1128559.5,6118587.904999995,17102512.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
114,2,8,34,0.05067687063734815,78848,0,0.0,222314.28125,1126668.1374999792,6118868.034999959,17071626.0,222314.28125,1126668.1374999792,6118868.034999959,17071626.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
