telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
107,1,5,37,0.05974263877846055,76800,0,0.0,282550.25,624935.6875,8046103.5,50256504.0,282550.25,624935.6875,8046103.5,50256504.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
108,1,5,38,0.05706848001609444,76800,0,0.0,278442.1875,626945.75,8002466.5,49730244.0,278442.1875,626945.75,8002466.5,49730244.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
109,1,5,39,0.05613526653618325,76800,0,0.0,277046.28125,625098.625,7956738.0,48882848.0,277046.28125,625098.625,7956738.0,48882848.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
110,1,5,40,0.0575117973929797,76800,0,0.0,275165.46875,626910.3125,7963233.5,47974224.0,275165.46875,626910.3125,7963233.5,47974224.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
111,1,5,41,0.05808335865900208,76800,0,0.0,273319.34375,628353.6875,7956133.0,47799048.0,273319.34375,628353.6875,7956133.0,47799048.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
112,1,6,42,0.057636995806435457,76800,0,0.0,273184.78125,620632.125,7927539.0,47506776.0,273184.78125,620632.125,7927539.0,47506776.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
113,1,6,43,0.05861540692124668,76800,0,0.0,273078.40625,622855.6875,7921520.5,47622820.0,273078.40625,622855.6875,7921520.5,47622820.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
114,1,6,44,0.05963878347834038,76800,0,0.0,271590.25,619282.625,7861736.5,47729504.0,271590.25,619282.625,7861736.5,47729504.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
115,1,6,45,0.05781968335236884,76800,0,0.0,270891.75,617664.5,7800305.354999878,47156936.0,270891.75,617664.5,7800305.354999878,47156936.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
116,1,6,46,0.059628702126462124,76798,0,0.0,269760.0,597610.946874844,7756447.979999929,46900684.0,269760.0,597610.946874844,7756447.979999929,46900684.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
